Series Name,Series Code,Time,Time Code,Albania [ALB],American Samoa [ASM],Andorra [AND],Antigua and Barbuda [ATG],Argentina [ARG],Armenia [ARM],Aruba [ABW],Australia [AUS],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Bermuda [BMU],Bosnia and Herzegovina [BIH],Botswana [BWA],Brazil [BRA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Canada [CAN],Cayman Islands [CYM],Channel Islands [CHI],Chile [CHL],China [CHN],Colombia [COL],Costa Rica [CRI],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],Equatorial Guinea [GNQ],Estonia [EST],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],France [FRA],French Polynesia [PYF],Gabon [GAB],Georgia [GEO],Germany [DEU],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guyana [GUY],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],Indonesia [IDN],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Italy [ITA],Jamaica [JAM],Japan [JPN],Jordan [JOR],Kazakhstan [KAZ],"Korea, Rep. [KOR]",Kosovo [XKX],Kuwait [KWT],Latvia [LVA],Lebanon [LBN],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Malaysia [MYS],Maldives [MDV],Malta [MLT],Marshall Islands [MHL],Mauritius [MUS],Mexico [MEX],Monaco [MCO],Montenegro [MNE],Namibia [NAM],Nauru [NRU],Netherlands [NLD],New Caledonia [NCL],New Zealand [NZL],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Palau [PLW],Panama [PAN],Paraguay [PRY],Peru [PER],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Russian Federation [RUS],Samoa [WSM],San Marino [SMR],Saudi Arabia [SAU],Serbia [SRB],Seychelles [SYC],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],South Africa [ZAF],Spain [ESP],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Suriname [SUR],Sweden [SWE],Switzerland [CHE],Thailand [THA],Tonga [TON],Trinidad and Tobago [TTO],Turkey [TUR],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],United Arab Emirates [ARE],United Kingdom [GBR],United States [USA],Uruguay [URY],"Venezuela, RB [VEN]",Virgin Islands (U.S.) [VIR]
"Population, total",SP.POP.TOTL,1960,YR1960,1608800,20123,13411,54131,20481779,1874121,54211,10276477,7047539,3895397,109534,162427,230980,8198000,9153489,92064,44400,3225668,502745,72179226,8048,81702,7867374,17909009,7865,109420,8132990,667070000,16057714,1330782,4140181,7141250,124826,572930,9602006,4579603,60011,3294224,4543666,255333,1211537,34615,393481,4429634,46621669,78076,500928,3645600,72814900,23420,8331725,32500,89932,66742,4128880,571819,3075605,9983967,175574,87751068,21906914,7289760,2828600,48442,2114020,50199700,1628520,92500572,933102,9934563,25012374,947000,269029,2120979,1804941,1448417,16493,2778550,313970,167791,8156347,89863,326550,14662,659351,37771859,22452,480579,634142,4375,11486631,79000,2371800,1488667,9979,3581239,551740,9771,1132997,1903982,10155015,29637450,8857716,2358000,47384,18406905,119897000,108629,15432,4086539,6608000,41700,1646400,2833,4068095,1584720,17099836,30455000,51199,89697,3893,80977,287870,7484656,5327827,27397207,61577,847979,27472345,1603258,5824,5323,92418,52400000,180671000,2538643,8141841,32500
"Population, total",SP.POP.TOTL,1961,YR1961,1659800,20602,14375,55001,20817266,1941492,55438,10483000,7086299,4030322,115121,167894,231718,8271216,9183948,94703,45500,3288603,512685,74311343,8167,85562,7943118,18271000,8026,110399,8303811,660330000,16567817,1381183,4167292,7291200,126125,576395,9586651,4611687,61032,3406280,4674172,258791,1225077,35076,407249,4461005,47240543,80706,505799,3703600,73377632,23813,8398050,33700,91327,68072,4251911,589274,3168100,10029321,179029,90098394,22480372,7475350,2824400,48281,2185000,50536350,1651073,94943000,973988,10349414,25765673,966000,300576,2152681,1864619,1498071,16893,2823550,316845,170462,8417824,92325,325250,15051,680757,38966056,22808,491140,649279,4632,11638712,81200,2419700,1507654,10245,3609800,564893,10049,1167113,1954548,10446620,29964000,8929316,2399722,51421,18555250,121236000,112105,15837,4218853,6655000,42889,1702400,3077,4191667,1594131,17524533,30739250,51196,90716,3989,82169,295913,7519998,5434294,28224187,63715,864818,28146910,1658362,5874,5335,100796,52800000,183691000,2571681,8439261,34300
"Population, total",SP.POP.TOTL,1962,YR1962,1711319,21253,15370,55841,21153052,2009526,56225,10742000,7129864,4171426,121091,173144,232633,8351928,9220578,97384,46600,3353226,523778,76514328,8310,89481,8012946,18614000,8146,111457,8476897,665770000,17092919,1433335,4196712,7453540,128414,577691,9624660,4647727,61982,3521018,4809201,262219,1241623,35524,421665,4491443,47904877,83655,511287,3760300,74025784,24313,8448233,35000,92484,69604,4378604,606285,3305200,10061734,182378,92518377,23071315,7674220,2836050,48418,2293000,50879450,1676501,95832000,1010658,10756928,26513030,994000,337348,2181586,1925297,1550813,17289,2863350,320750,176183,8692342,94905,323900,15547,700349,40195319,23039,502558,665115,4944,11805689,83400,2482000,1527111,10436,3638918,578823,10317,1202449,2006670,10749466,30308500,8993985,2450322,56262,18676550,122591000,115776,16255,4362786,6696000,44042,1750200,3372,4238188,1603649,17965733,31023366,50961,91891,4076,83237,303894,7561588,5573815,29080938,66235,879441,28832827,1715408,5884,5340,112118,53250000,186538000,2603882,8742777,35000
"Population, total",SP.POP.TOTL,1963,YR1963,1762621,22034,16412,56702,21488912,2077578,56695,10950000,7175811,4315127,127339,178140,233630,8437232,9289770,100164,47700,3417574,535685,78772657,8476,93540,8078145,18964000,8227,112595,8650387,682335000,17629978,1486553,4225675,7623294,130860,577913,9670685,4684483,62918,3638109,4948986,266000,1258857,35969,436293,4523309,48582611,86847,517580,3816100,74714353,24889,8479625,36400,93413,71286,4508444,622575,3420900,10087947,185653,95015297,23680258,7888913,2852650,48800,2379000,51252000,1703651,96812000,1050213,11147859,27261747,1022000,378746,2210919,1985001,1607171,17719,2898950,324100,184245,8973788,97551,322550,16114,718861,41462369,23168,513409,681637,5275,11965966,85700,2531800,1547450,10590,3666537,593504,10569,1238889,2060339,11062300,30712000,9030355,2504530,61716,18797850,123960000,119559,16679,4516533,6732000,45176,1795000,3696,4282017,1616971,18423157,31296651,50529,93211,4183,84198,311945,7604328,5694247,29966865,68981,891944,29531365,1773853,5870,5343,125130,53650000,189242000,2635126,9052635,39800
"Population, total",SP.POP.TOTL,1964,YR1964,1814135,22854,17469,57641,21824425,2145001,57032,11167000,7223801,4456687,133709,182887,234586,8524224,9378113,103069,48900,3478997,547873,81064571,8646,97812,8144340,19325000,8298,113773,8821858,698355000,18175187,1539941,4252876,7793262,133148,578625,9727804,4722072,63926,3757132,5093854,270618,1277086,36406,450542,4548543,49230595,90139,524895,3870300,75318337,25479,8510429,37600,94123,73051,4640795,637845,3504600,10119835,188983,97596733,24307860,8122197,2866550,49391,2475000,51675350,1730738,97826000,1102399,11511847,27984155,1050000,423898,2240623,2041229,1667825,18168,2935200,327750,193561,9253842,100171,321250,16710,736381,42771079,23236,521753,698796,5592,12127120,88100,2585400,1569142,10783,3694339,608889,10799,1276331,2115567,11383373,31139450,9035365,2554066,67566,18919126,125345000,123342,17099,4677298,6765000,46322,1841600,4067,4327341,1632114,18896303,31609195,49928,94636,4308,85111,320267,7661354,5789228,30881138,71741,902613,30244261,1833064,5848,5356,138039,54000000,191889000,2665388,9369096,40800
"Population, total",SP.POP.TOTL,1965,YR1965,1864791,23672,18549,58698,22159650,2211319,57360,11388000,7270889,4592609,140059,187431,235413,8610000,9463667,106119,50100,3535643,559994,83373530,8830,102386,8204168,19678000,8369,114995,8989621,715185000,18725242,1592841,4280923,7958169,135266,580966,9779358,4759012,65038,3877765,5243977,276300,1294566,36847,463968,4563732,49818028,93438,533361,3921600,75963695,26073,8550333,39200,94636,74830,4774984,651868,3597900,10147935,192286,100267062,24954873,8375790,2877300,50141,2563000,52112350,1756511,98883000,1173606,11841920,28704674,1078000,472037,2265919,2092375,1733306,18649,2971450,331500,203228,9526558,102718,318800,17284,753000,44123853,23282,526327,716584,5856,12294732,90500,2628400,1592433,11022,3723168,625009,11003,1314677,2172306,11711392,31444950,8998595,2594000,73633,19031576,126745000,127054,17513,4843635,6794000,47500,1886900,4459,4370983,1649160,19384838,31954292,49209,96134,4468,86011,328939,7733853,5856472,31822660,74345,911737,30972994,1892599,5823,5386,149857,54348050,194303000,2694536,9692278,43500
"Population, total",SP.POP.TOTL,1966,YR1966,1914573,24462,19647,59915,22494035,2276034,57715,11651000,7322066,4721523,146382,191780,236088,8696496,9527807,109347,51000,3586636,571964,85696505,9025,107274,8258057,20048000,8441,116227,9152844,735400000,19279734,1645083,4310701,8115487,136682,585309,9821040,4797381,66311,3999796,5399422,283506,1308597,37278,476404,4580869,50330262,96716,543112,3966700,76600311,26633,8613651,40500,94934,76607,4910790,664521,3629900,10178653,195570,103025426,25624373,8651162,2888800,51049,2629000,52519000,1780518,99790000,1267062,12132559,29435571,1106000,523166,2283217,2136617,1803683,19152,3008050,333895,213192,9790084,105136,315200,17842,768813,45519737,23305,526419,734867,6067,12456251,93500,2675900,1617795,11344,3753012,642001,11179,1353842,2230741,12045787,31681000,8930990,2624995,79846,19215450,127468000,130673,17918,5015357,6841000,48699,1934400,4894,4411666,1669905,19888259,32283194,48351,97715,4685,86903,338155,7807797,5918002,32789130,76771,919217,31717507,1952141,5791,5438,159976,54648500,196560000,2722875,10022592,46200
"Population, total",SP.POP.TOTL,1967,YR1967,1965598,25248,20758,61241,22828869,2339127,58055,11799000,7376998,4843868,152620,196063,236659,8785648,9580991,112692,52000,3632672,584092,88035814,9222,112448,8310226,20412000,8522,117474,9312095,754550000,19837508,1696732,4338683,8266380,138140,591308,9852899,4835354,67686,4123092,5560012,291790,1318946,37705,487981,4605744,50775794,99995,554059,4005800,76951336,27173,8684088,41900,95020,78404,5047435,675871,3722800,10216604,198751,105865571,26317783,8947404,2902450,52118,2745000,52900500,1803319,100725000,1378998,12385710,30130983,1135000,577164,2301220,2174738,1878877,19691,3044400,334995,223418,10046325,107478,311550,18388,783917,46956208,23292,522796,753688,6223,12598201,96500,2724100,1644943,11721,3784539,660114,11326,1393825,2290798,12386879,31987155,8874520,2645674,86302,19534242,128196000,134177,18307,5195135,6880000,49911,1977600,5366,4449367,1689528,20406863,32682947,47388,99365,4920,87777,347673,7867931,5991785,33778799,79029,925235,32477992,2011764,5764,5511,169771,54943600,198712000,2750086,10359745,49100
"Population, total",SP.POP.TOTL,1968,YR1968,2022272,25989,21890,62521,23168267,2401143,58386,12009000,7415403,4960232,158648,200653,237241,8874552,9618756,116061,53000,3675454,596947,90387079,9421,117898,8369603,20744000,8631,118726,9468845,774510000,20393704,1747694,4365628,8413552,140298,598495,9876346,4864883,69040,4247558,5725459,299413,1331214,38124,498940,4626469,51175508,103342,565766,4042300,77294314,27685,8740765,43400,94927,80217,5184095,686146,3802700,10255815,201488,108779924,27032571,9260682,2915550,53254,2803000,53235750,1825879,101061000,1500163,12611426,30838302,1163000,632899,2323619,2210772,1958914,20235,3078850,335850,233000,10297983,109891,307900,18961,798413,48431972,23304,517481,773422,6337,12729721,99500,2748100,1672399,12140,3816486,679595,11464,1434669,2351925,12735486,32294655,8836650,2662064,93211,19799831,128928000,137487,18668,5387828,6915000,51134,2012000,5859,4483915,1704546,20942147,33113134,46399,101035,5193,88662,356551,7912273,6067714,34791409,81079,930795,33256464,2071790,5744,5597,182627,55211700,200706000,2774759,10702291,55700
"Population, total",SP.POP.TOTL,1969,YR1969,2081695,26703,23058,63550,23517611,2462928,58726,12263000,7441055,5071927,164268,206043,237955,8960304,9646032,119261,54000,3717468,611300,92746614,9626,123600,8434172,21028000,8827,119972,9625312,796025000,20942453,1797893,4391490,8561384,142581,606116,9896580,4891860,70213,4373124,5895367,304000,1345249,38570,509704,4623785,51561836,106820,577646,4080300,77909682,28166,8772764,44900,94728,82040,5320100,695745,3863900,10298723,203369,111758563,27764924,9585576,2932650,54376,2877000,53537950,1849662,103172000,1617428,12824606,31544266,1191000,688979,2343173,2250447,2043818,20766,3107321,337500,240839,10549399,112582,304300,19622,812405,49945279,23346,513340,794588,6441,12877984,104000,2772800,1698144,12574,3847707,700729,11618,1476481,2413396,13092852,32548300,8757705,2684150,100883,20009141,129664000,140500,18977,5599904,6945000,52365,2042500,6357,4518607,1713874,21496075,33441054,45529,102597,5459,89568,363574,7968072,6136387,35827092,82855,937186,34055390,2132802,5773,5670,203106,55441750,202677000,2795042,11048262,60300
