Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]",GDP per capita (current US$) [NY.GDP.PCAP.CD],Exports of goods and services (constant 2010 US$) [NE.EXP.GNFS.KD],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],GNI per capita (constant 2010 US$) [NY.GNP.PCAP.KD],GNI (constant 2010 US$) [NY.GNP.MKTP.KD],GNI growth (annual %) [NY.GNP.MKTP.KD.ZG],Gross capital formation (constant 2010 US$) [NE.GDI.TOTL.KD],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Gross savings (% of GNI) [NY.GNS.ICTR.GN.ZS],Imports of goods and services (annual % growth) [NE.IMP.GNFS.KD.ZG],Imports of goods and services (constant 2010 US$) [NE.IMP.GNFS.KD],"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","Services, value added (annual % growth) [NV.SRV.TOTL.KD.ZG]","Services, value added per worker (constant 2010 US$) [NV.SRV.EMPL.KD]",Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],Taxes less subsidies on products (constant LCU) [NY.TAX.NIND.KN],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions) [SE.XPD.CTER.ZS]","Current education expenditure, secondary (% of total expenditure in secondary public institutions) [SE.XPD.CSEC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure per student, primary (% of GDP per capita) [SE.XPD.PRIM.PC.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]","Compulsory education, duration (years) [SE.COM.DURS]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.MS.ZS]","Claims on central government, etc. (% GDP) [FS.AST.CGOV.GD.ZS]",Claims on other sectors of the domestic economy (% of GDP) [FS.AST.DOMO.GD.ZS],"Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]",Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],Out-of-pocket expenditure per capita (current US$) [SH.XPD.OOPC.PC.CD],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Ease of doing business index (1=most business-friendly regulations) [IC.BUS.EASE.XQ],Other taxes payable by businesses (% of commercial profits) [IC.TAX.OTHR.CP.ZS],Labor tax and contributions (% of commercial profits) [IC.TAX.LABR.CP.ZS],Total tax and contribution rate (% of profit) [IC.TAX.TOTL.CP.ZS],Business extent of disclosure index (0=less disclosure to 10=more disclosure) [IC.BUS.DISC.XQ],Profit tax (% of commercial profits) [IC.TAX.PRFT.CP.ZS],"Bound rate, simple mean, all products (%) [TM.TAX.MRCH.BR.ZS]","Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Import value index (2000 = 100) [TM.VAL.MRCH.XD.WD],Export value index (2000 = 100) [TX.VAL.MRCH.XD.WD],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],"Armed forces personnel, total [MS.MIL.TOTL.P1]",Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Expense (% of GDP) [GC.XPN.TOTL.GD.ZS],Customs and other import duties (% of tax revenue) [GC.TAX.IMPT.ZS],Other taxes (% of revenue) [GC.TAX.OTHR.RV.ZS],Grants and other revenue (% of revenue) [GC.REV.GOTR.ZS],"Revenue, excluding grants (current LCU) [GC.REV.XGRT.CN]",Other taxes (current LCU) [GC.TAX.OTHR.CN],Grants and other revenue (current LCU) [GC.REV.GOTR.CN],Customs and other import duties (current LCU) [GC.TAX.IMPT.CN],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Tax revenue (current LCU) [GC.TAX.TOTL.CN],Taxes on exports (current LCU) [GC.TAX.EXPT.CN],Taxes on goods and services (% value added of industry and services) [GC.TAX.GSRV.VA.ZS],"Taxes on income, profits and capital gains (% of revenue) [GC.TAX.YPKG.RV.ZS]","Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]","Taxes on income, profits and capital gains (current LCU) [GC.TAX.YPKG.CN]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS],Adequacy of social protection and labor programs (% of total welfare of beneficiary households) [per_allsp.adq_pop_tot],Adequacy of social insurance programs (% of total welfare of beneficiary households) [per_si_allsi.adq_pop_tot],Adequacy of social safety net programs (% of total welfare of beneficiary households) [per_sa_allsa.adq_pop_tot],Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.25.TO],Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.10.TO]
1960,YR1960,Andorra,AND,13411,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Austria,AUT,7047539,..,68.5856097560976,..,..,..,..,1.4581856994971,..,935.460426850415,..,91836704603.8273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.8000001907349,..,..,..,..,..,..,..,..,..,..,..,..,38.466824959434,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Belgium,BEL,9153489,..,69.7019512195122,..,..,..,..,3.39734786713587,..,1273.69165910289,..,119193551296.988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Bermuda,BMU,44400,..,..,..,..,..,..,..,..,1902.4021189224,..,1481304218.12833,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Canada,CAN,17909009,..,71.1331707317073,..,..,..,..,4.18525654025553,..,2259.29428549881,..,293813506386.762,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.21119956030654,..,..,..,..,..,6.19999980926514,..,..,..,..,..,..,..,..,..,..,..,..,29.3882699562955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Channel Islands,CHI,109420,..,70.739,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.1538457870483,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Croatia,HRV,4140181,..,64.6086585365854,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Cyprus,CYP,572930,..,69.618,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.52356004714966,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Czech Republic,CZE,9602006,..,70.3487804878049,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Denmark,DNK,4579603,..,72.1765853658537,..,..,..,..,2.72887755602413,..,..,..,94053807786.0752,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Estonia,EST,1211537,..,67.9029024390244,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Faroe Islands,FRO,34615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Finland,FIN,4429634,..,68.819756097561,..,..,..,..,1.76904104762464,..,1179.35301099994,..,53974754755.8184,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.2986186556141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,France,FRA,46621669,..,69.8682926829268,..,14.8140239996584,12.3798949481146,25.577571849511,5.42848588493053,..,1334.69005583825,40565411589.7185,594143057742.536,..,..,..,139817214011.021,28.0117009010548,..,..,..,38010638037.8417,46.8890122560533,..,..,..,51891901400,27.193918947773,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.1296086786406,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Germany,DEU,72814900,..,69.3100243902439,..,..,..,..,3.8306523940357,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Gibraltar,GIB,23420,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Greece,GRC,8331725,..,68.1639024390244,..,9.90385786841929,14.5699018404426,16.4851463747251,4.85730295953435,..,520.322744310383,2399323608.42351,52154874899.1388,..,..,..,10498130108.9146,12.6195226560852,..,..,..,3476615154.18121,..,..,..,..,..,24.4737597088619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.80000019073486,..,..,..,..,..,..,..,..,..,..,..,..,20.8756901430447,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Greenland,GRL,32500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Hungary,HUN,9983967,..,68.0031707317073,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
