Time,Time Code,Country Name,Country Code,Exports of goods and services (annual % growth) [NE.EXP.GNFS.KD.ZG]
1960,YR1960,Andorra,AND,..
1960,YR1960,Austria,AUT,..
1960,YR1960,Belgium,BEL,..
1960,YR1960,Bermuda,BMU,..
1960,YR1960,Canada,CAN,..
1960,YR1960,Channel Islands,CHI,..
1960,YR1960,Croatia,HRV,..
1960,YR1960,Cyprus,CYP,..
1960,YR1960,Czech Republic,CZE,..
1960,YR1960,Denmark,DNK,..
1960,YR1960,Estonia,EST,..
1960,YR1960,Faroe Islands,FRO,..
1960,YR1960,Finland,FIN,..
1960,YR1960,France,FRA,..
1960,YR1960,Germany,DEU,..
1960,YR1960,Gibraltar,GIB,..
1960,YR1960,Greece,GRC,..
1960,YR1960,Greenland,GRL,..
1960,YR1960,Hungary,HUN,..
1960,YR1960,Iceland,ISL,..
1960,YR1960,Ireland,IRL,..
1960,YR1960,Isle of Man,IMN,..
1960,YR1960,Italy,ITA,..
1960,YR1960,Latvia,LVA,..
1960,YR1960,Liechtenstein,LIE,..
1960,YR1960,Lithuania,LTU,..
1960,YR1960,Luxembourg,LUX,..
1960,YR1960,Monaco,MCO,..
1960,YR1960,Netherlands,NLD,..
1960,YR1960,Norway,NOR,..
1960,YR1960,Poland,POL,..
1960,YR1960,Portugal,PRT,..
1960,YR1960,Romania,ROU,..
1960,YR1960,San Marino,SMR,..
1960,YR1960,Slovak Republic,SVK,..
1960,YR1960,Slovenia,SVN,..
1960,YR1960,Spain,ESP,..
1960,YR1960,Sweden,SWE,..
1960,YR1960,Switzerland,CHE,..
1960,YR1960,United Kingdom,GBR,..
1960,YR1960,United States,USA,..
1961,YR1961,Andorra,AND,..
1961,YR1961,Austria,AUT,..
1961,YR1961,Belgium,BEL,..
1961,YR1961,Bermuda,BMU,..
1961,YR1961,Canada,CAN,..
1961,YR1961,Channel Islands,CHI,..
1961,YR1961,Croatia,HRV,..
1961,YR1961,Cyprus,CYP,..
1961,YR1961,Czech Republic,CZE,..
1961,YR1961,Denmark,DNK,..
1961,YR1961,Estonia,EST,..
1961,YR1961,Faroe Islands,FRO,..
1961,YR1961,Finland,FIN,..
1961,YR1961,France,FRA,5.31367407135687
1961,YR1961,Germany,DEU,..
1961,YR1961,Gibraltar,GIB,..
1961,YR1961,Greece,GRC,9.90141413327588
1961,YR1961,Greenland,GRL,..
1961,YR1961,Hungary,HUN,..
1961,YR1961,Iceland,ISL,..
1961,YR1961,Ireland,IRL,..
1961,YR1961,Isle of Man,IMN,..
1961,YR1961,Italy,ITA,..
1961,YR1961,Latvia,LVA,..
1961,YR1961,Liechtenstein,LIE,..
1961,YR1961,Lithuania,LTU,..
1961,YR1961,Luxembourg,LUX,..
1961,YR1961,Monaco,MCO,..
1961,YR1961,Netherlands,NLD,..
1961,YR1961,Norway,NOR,..
1961,YR1961,Poland,POL,..
1961,YR1961,Portugal,PRT,..
1961,YR1961,Romania,ROU,..
1961,YR1961,San Marino,SMR,..
1961,YR1961,Slovak Republic,SVK,..
1961,YR1961,Slovenia,SVN,..
1961,YR1961,Spain,ESP,..
1961,YR1961,Sweden,SWE,5.20048000210866
1961,YR1961,Switzerland,CHE,..
1961,YR1961,United Kingdom,GBR,..
1961,YR1961,United States,USA,..
1962,YR1962,Andorra,AND,..
1962,YR1962,Austria,AUT,..
1962,YR1962,Belgium,BEL,..
1962,YR1962,Bermuda,BMU,..
1962,YR1962,Canada,CAN,4.63532504994643
1962,YR1962,Channel Islands,CHI,..
1962,YR1962,Croatia,HRV,..
1962,YR1962,Cyprus,CYP,..
1962,YR1962,Czech Republic,CZE,..
1962,YR1962,Denmark,DNK,..
1962,YR1962,Estonia,EST,..
1962,YR1962,Faroe Islands,FRO,..
1962,YR1962,Finland,FIN,..
1962,YR1962,France,FRA,1.16620694878762
1962,YR1962,Germany,DEU,..
1962,YR1962,Gibraltar,GIB,..
1962,YR1962,Greece,GRC,-4.5636096170243
1962,YR1962,Greenland,GRL,..
1962,YR1962,Hungary,HUN,..
1962,YR1962,Iceland,ISL,..
1962,YR1962,Ireland,IRL,..
1962,YR1962,Isle of Man,IMN,..
1962,YR1962,Italy,ITA,..
1962,YR1962,Latvia,LVA,..
1962,YR1962,Liechtenstein,LIE,..
1962,YR1962,Lithuania,LTU,..
1962,YR1962,Luxembourg,LUX,..
1962,YR1962,Monaco,MCO,..
1962,YR1962,Netherlands,NLD,..
1962,YR1962,Norway,NOR,..
1962,YR1962,Poland,POL,..
1962,YR1962,Portugal,PRT,..
1962,YR1962,Romania,ROU,..
1962,YR1962,San Marino,SMR,..
1962,YR1962,Slovak Republic,SVK,..
1962,YR1962,Slovenia,SVN,..
1962,YR1962,Spain,ESP,..
1962,YR1962,Sweden,SWE,8.09996520191415
1962,YR1962,Switzerland,CHE,..
1962,YR1962,United Kingdom,GBR,..
1962,YR1962,United States,USA,..
1963,YR1963,Andorra,AND,..
1963,YR1963,Austria,AUT,..
1963,YR1963,Belgium,BEL,..
1963,YR1963,Bermuda,BMU,..
1963,YR1963,Canada,CAN,8.80747435733767
1963,YR1963,Channel Islands,CHI,..
1963,YR1963,Croatia,HRV,..
1963,YR1963,Cyprus,CYP,..
1963,YR1963,Czech Republic,CZE,..
1963,YR1963,Denmark,DNK,..
1963,YR1963,Estonia,EST,..
1963,YR1963,Faroe Islands,FRO,..
1963,YR1963,Finland,FIN,..
1963,YR1963,France,FRA,8.38939094107749
1963,YR1963,Germany,DEU,..
1963,YR1963,Gibraltar,GIB,..
1963,YR1963,Greece,GRC,15.5264122465482
1963,YR1963,Greenland,GRL,..
1963,YR1963,Hungary,HUN,..
1963,YR1963,Iceland,ISL,..
1963,YR1963,Ireland,IRL,..
1963,YR1963,Isle of Man,IMN,..
1963,YR1963,Italy,ITA,..
1963,YR1963,Latvia,LVA,..
1963,YR1963,Liechtenstein,LIE,..
1963,YR1963,Lithuania,LTU,..
1963,YR1963,Luxembourg,LUX,..
1963,YR1963,Monaco,MCO,..
1963,YR1963,Netherlands,NLD,..
