Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Taxes on exports (% of tax revenue) [GC.TAX.EXPT.ZS],Taxes on goods and services (% of revenue) [GC.TAX.GSRV.RV.ZS],Taxes on goods and services (% value added of industry and services) [GC.TAX.GSRV.VA.ZS],"Taxes on income, profits and capital gains (% of revenue) [GC.TAX.YPKG.RV.ZS]","Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]",Taxes on international trade (% of revenue) [GC.TAX.INTT.RV.ZS]
1960,YR1960,Andorra,AND,13411,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Antigua and Barbuda,ATG,54131,..,..,..,61.968,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Aruba,ABW,54211,..,..,..,65.662,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Australia,AUS,10276477,..,..,..,70.8170731707317,18577668271.9229,..,..,..,2.3695451396906,..,3.72881355932205,..,..,..,..,..,..,..
1960,YR1960,Austria,AUT,7047539,..,..,..,68.5856097560976,6592693841.18495,..,..,..,1.4581856994971,..,1.94576518355564,..,..,..,..,..,..,..
1960,YR1960,"Bahamas, The",BHS,109534,..,..,..,64.74,169803921.568627,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Bahrain,BHR,162427,..,..,..,51.869,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Barbados,BRB,230980,..,..,..,64.472,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Belgium,BEL,9153489,..,..,..,69.7019512195122,11658722590.99,..,..,..,3.39734786713587,..,0.299467254769634,..,..,..,..,..,..,..
1960,YR1960,Bermuda,BMU,44400,..,..,..,..,84466654.0801544,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,British Virgin Islands,VGB,8048,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Brunei Darussalam,BRN,81702,..,..,..,54.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Canada,CAN,17909009,..,..,..,71.1331707317073,40461721692.6468,..,..,..,4.18525654025553,..,1.35869565217391,..,..,..,..,..,..,..
1960,YR1960,Cayman Islands,CYM,7865,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Channel Islands,CHI,109420,..,..,..,70.739,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Chile,CHL,8132990,..,..,..,57.219,4110000000,..,..,..,3.11840562719812,..,..,..,..,..,..,..,..,..
1960,YR1960,Croatia,HRV,4140181,..,..,..,64.6086585365854,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Curacao,CUW,124826,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Cyprus,CYP,572930,..,..,..,69.618,..,..,..,..,..,..,0.827300930713943,..,..,..,..,..,..,..
1960,YR1960,Czech Republic,CZE,9602006,..,..,..,70.3487804878049,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Denmark,DNK,4579603,..,..,..,72.1765853658537,..,..,..,..,2.72887755602413,..,1.25523012552926,..,..,..,..,..,..,..
1960,YR1960,Estonia,EST,1211537,..,..,..,67.9029024390244,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Faroe Islands,FRO,34615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Finland,FIN,4429634,..,..,..,68.819756097561,5224102195.52771,..,..,..,1.76904104762464,..,3.41812725350791,..,..,..,..,..,..,..
1960,YR1960,France,FRA,46621669,..,..,..,69.8682926829268,62225478000.8822,..,..,..,5.42848588493053,..,4.1399357551843,..,..,..,..,..,..,..
1960,YR1960,French Polynesia,PYF,78076,..,..,..,56.282,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Germany,DEU,72814900,..,..,..,69.3100243902439,..,..,..,..,3.8306523940357,..,1.53661155971013,..,..,..,..,..,..,..
1960,YR1960,Gibraltar,GIB,23420,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Greece,GRC,8331725,..,..,..,68.1639024390244,4335186016.83942,..,..,..,4.85730295953435,..,1.4778337895029,..,..,..,..,..,..,..
1960,YR1960,Greenland,GRL,32500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Guam,GUM,66742,..,..,..,60.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,"Hong Kong SAR, China",HKG,3075605,..,..,..,66.9616829268293,1320796651.69457,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Hungary,HUN,9983967,..,..,..,68.0031707317073,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Iceland,ISL,175574,..,..,..,73.4231707317073,248434096.968726,..,..,..,0,..,1.98840080872216,..,..,..,..,..,..,..
1960,YR1960,Ireland,IRL,2828600,..,..,..,69.796512195122,1939329775.43739,..,..,..,1.33038674274387,..,0.450837269431766,..,..,..,..,..,..,..
1960,YR1960,Isle of Man,IMN,48442,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Israel,ISR,2114020,..,..,..,..,2598500000,..,..,..,7.46024831191462,..,2.22811242067083,..,..,..,..,..,..,..
1960,YR1960,Italy,ITA,50199700,..,..,..,69.1239024390244,40385288344.1911,..,..,..,2.71382598828575,..,2.35016141377048,..,..,..,..,..,..,..
1960,YR1960,Japan,JPN,92500572,..,..,..,67.6660975609756,44307342950.4,..,..,..,1.08059488934833,..,3.57451152535917,..,..,..,..,..,..,..
1960,YR1960,"Korea, Rep.",KOR,25012374,..,..,..,55.4155365853659,3958190758.62419,..,..,..,7.15754833401892,..,7.9655780388723,..,..,..,..,..,..,..
1960,YR1960,Kuwait,KWT,269029,..,..,..,59.343,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Latvia,LVA,2120979,..,..,..,69.7868292682927,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Liechtenstein,LIE,16493,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Lithuania,LTU,2778550,..,..,..,69.8473170731707,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Luxembourg,LUX,313970,..,..,..,68.4463902439024,703925705.942958,..,..,..,1.00387848143364,..,0.449620296389849,..,..,..,..,..,..,..
1960,YR1960,"Macao SAR, China",MAC,167791,..,..,..,64.828,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Malta,MLT,326550,..,..,..,69.433243902439,..,..,..,..,..,..,3.3846153846155,..,..,..,..,..,..,..
1960,YR1960,Mauritius,MUS,659351,..,..,..,58.7452195121951,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Monaco,MCO,22452,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Nauru,NRU,4375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Netherlands,NLD,11486631,..,..,..,73.3926829268293,12276734172.0828,..,..,..,3.70390179658833,..,2.32394366197221,..,..,..,..,..,..,..
1960,YR1960,New Caledonia,NCL,79000,..,..,..,58.6390243902439,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,New Zealand,NZL,2371800,..,..,..,71.2365853658537,5485854791.97096,..,..,..,2.69073315965761,..,0.697929233796472,..,..,..,..,..,..,..
1960,YR1960,Northern Mariana Islands,MNP,9979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Norway,NOR,3581239,..,..,..,73.549756097561,5163271598.15702,..,..,..,3.20043559803981,..,0.360492346844601,..,..,..,..,..,..,..
1960,YR1960,Oman,OMN,551740,..,..,..,42.672,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Palau,PLW,9771,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Panama,PAN,1132997,..,..,..,60.864,537147100,..,..,..,..,..,0.0511770724157416,..,..,..,..,..,..,..
1960,YR1960,Poland,POL,29637450,..,..,..,67.6804878048781,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Portugal,PRT,8857716,..,..,..,63.2729024390244,3193200404.37297,..,..,..,3.38405784997685,..,3.04659277832702,..,..,..,..,..,..,..
1960,YR1960,Puerto Rico,PRI,2358000,..,..,..,68.7196097560976,1691900000,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Qatar,QAT,47384,..,..,..,61.094,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Romania,ROU,18406905,..,..,..,65.6424390243903,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,San Marino,SMR,15432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Saudi Arabia,SAU,4086539,..,..,..,45.638,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Seychelles,SYC,41700,..,..,..,..,12012025.2477875,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Singapore,SGP,1646400,..,..,..,65.6598292682927,704756304.717104,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Sint Maarten (Dutch part),SXM,2833,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Slovak Republic,SVK,4068095,..,..,..,69.9236585365854,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Slovenia,SVN,1584720,..,..,..,68.9780487804878,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Spain,ESP,30455000,..,..,..,69.1092682926829,12072126075.397,..,..,..,2.25074702204848,..,1.17775803502553,..,..,..,..,..,..,..
1960,YR1960,St. Kitts and Nevis,KNA,51199,..,..,..,..,12366563.6119699,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,St. Martin (French part),MAF,3893,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Sweden,SWE,7484656,..,..,..,73.0056097560976,15822585033.5764,..,..,..,3.77697093998143,..,4.14177915090216,..,..,..,..,..,..,..
1960,YR1960,Switzerland,CHE,5327827,..,..,..,71.3134146341463,9522746719.21614,..,..,..,2.34145036125234,..,1.43880488974237,..,..,..,..,..,..,..
1960,YR1960,Trinidad and Tobago,TTO,847979,..,..,..,62.222,535670127.748935,..,..,..,..,..,2.08000000007819,..,..,..,..,..,..,..
1960,YR1960,Turks and Caicos Islands,TCA,5824,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,United Arab Emirates,ARE,92418,..,..,..,51.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,United Kingdom,GBR,52400000,..,..,..,71.1268292682927,73233967692.1028,..,..,..,6.34304141154661,..,1.00357570390171,..,..,..,..,..,..,..
1960,YR1960,United States,USA,180671000,..,..,..,69.7707317073171,543300000000,..,..,..,8.99312458715278,..,1.45797598627786,..,..,..,..,..,..,..
1960,YR1960,Uruguay,URY,2538643,..,..,..,67.783,1242289239.20493,..,..,..,..,..,38.5040374002647,..,..,..,..,..,..,..
1960,YR1960,Virgin Islands (U.S.),VIR,32500,..,..,..,66.2248536585366,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Andorra,AND,14375,6.9415320954611,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Antigua and Barbuda,ATG,55001,1.59443322031538,..,..,62.523,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Aruba,ABW,55438,2.23814393117093,..,..,66.074,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Australia,AUS,10483000,1.9897400460104,..,..,70.9731707317073,19652816664.8001,2.48576949187947,3.22146836251822,..,2.41513985411521,..,2.2875816993464,..,..,..,..,..,..,..
1961,YR1961,Austria,AUT,7086299,0.548472356417754,..,..,69.5773170731707,7311749633.36229,5.53797931684528,5.08715371682004,..,1.30933752302764,..,3.54225699065465,..,..,..,..,..,..,..
1961,YR1961,"Bahamas, The",BHS,115121,4.97487457854895,..,..,64.885,190098039.215686,10.667097429183,1.16060125853875,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Bahrain,BHR,167894,3.31041578218961,..,..,53.235,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Barbados,BRB,231718,0.318998839772583,..,..,65.198,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Belgium,BEL,9183948,0.332205945818093,..,..,70.5209756097561,12400145221.595,4.97842306319197,1.31546869427727,..,3.25907007379727,..,0.992676260767344,..,..,..,..,..,..,..
1961,YR1961,Bermuda,BMU,45500,2.47747747747749,..,..,..,89249986.7007156,4.67999999999729,0.939036516447359,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,British Virgin Islands,VGB,8167,1.46780310187553,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Brunei Darussalam,BRN,85562,4.61627779795807,..,..,55.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Canada,CAN,18271000,2.00112211044303,..,..,71.3460975609756,40934952063.9468,3.16329168371298,2.44442707980434,..,4.12831224346052,..,1.01876675603215,..,..,..,..,..,..,..
1961,YR1961,Cayman Islands,CYM,8026,2.02637353344837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Channel Islands,CHI,110399,0.8907387195277,..,..,70.833,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Chile,CHL,8303811,2.07859364236168,..,..,57.616,4609727272.72727,5.24527188577721,6.56898159122454,..,3.52744729701524,..,..,..,..,..,..,..,..,..
1961,YR1961,Croatia,HRV,4167292,0.652691769096606,..,..,65.015512195122,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Curacao,CUW,126125,1.03527111034878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Cyprus,CYP,576395,0.602964435292891,..,..,69.949,..,..,..,..,..,..,-0.615384615384914,..,..,..,..,..,..,..
1961,YR1961,Czech Republic,CZE,9586651,-0.160042500915763,..,..,70.5126829268293,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Denmark,DNK,4611687,0.698142052204406,..,..,72.4382926829268,..,6.37883247557384,..,..,2.58681164503683,..,3.45162858557826,..,..,..,..,..,..,..
1961,YR1961,Estonia,EST,1225077,1.11138977039487,..,..,68.3608048780488,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Faroe Islands,FRO,35076,1.32300217871205,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
